rank,feature_index,feature_name,mean_abs_shap
202,21,ECG sample 021,0.0056730215437710285
203,15,ECG sample 015,0.005620499607175589
204,17,ECG sample 017,0.005516286473721266
205,25,ECG sample 025,0.005203058943152428
206,19,ECG sample 019,0.005174555815756321
207,30,ECG sample 030,0.005155442748218775
208,14,ECG sample 014,0.0050272089429199696
209,28,ECG sample 028,0.005024873651564121
210,16,ECG sample 016,0.004940628074109554
211,18,ECG sample 018,0.004532359074801207
212,1,ECG sample 001,0.004436305724084377
213,24,ECG sample 024,0.004432945046573877
214,22,ECG sample 022,0.004420092795044184
215,26,ECG sample 026,0.004206239245831966
216,20,ECG sample 020,0.0041638584807515144
